# generated_by='OpenQuake engine 3.6.0', start_date='2019-09-26T01:23:50', checksum=1403906382, kind='quantile-0.85', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
110.67624,-27.71862,1.795264E-02,6.191716E-02
110.68131,-43.77151,0.000000E+00,0.000000E+00
110.68671,-36.89170,5.927437E-03,2.991019E-02
110.69208,-16.92676,1.792279E-02,4.160007E-02
110.69702,-17.46635,1.761363E-02,4.712525E-02
110.70219,-29.33740,1.234222E-02,5.065792E-02
110.70852,-44.71580,0.000000E+00,0.000000E+00
110.71433,-19.22003,1.541267E-02,4.340505E-02
110.72059,-45.12049,0.000000E+00,0.000000E+00
110.72597,-20.29921,1.497826E-02,5.517158E-02
110.73280,-31.09107,9.931760E-03,4.755243E-02
110.73839,-21.37840,1.373491E-02,5.100848E-02
110.74531,-31.76556,1.169868E-02,4.815906E-02
110.75162,-22.45759,1.491405E-02,5.056581E-02
110.75840,-46.33457,0.000000E+00,0.000000E+00
110.76431,-40.12925,8.290881E-05,4.381602E-03
110.76767,-7.21408,1.357079E-01,2.495101E-01
110.77117,-23.94147,2.072041E-02,6.018998E-02
110.77472,-8.83286,4.232483E-01,9.600523E-01
110.77851,-40.66885,0.000000E+00,2.310110E-03
110.78250,-10.31674,1.055706E+00,1.090000E+00
110.78642,-25.02065,3.157614E-02,9.685928E-02
110.79067,-11.66573,1.606724E-01,3.305671E-01
110.79515,-12.34022,1.081198E-01,2.319912E-01
110.79991,-13.01471,7.032565E-02,1.627524E-01
110.80468,-26.23474,3.141535E-02,9.432150E-02
110.80918,-14.22879,3.591418E-02,7.771271E-02
110.81472,-14.90328,2.745753E-02,5.725910E-02
110.81970,-27.17902,2.334543E-02,8.151805E-02
110.82543,-16.11737,2.011596E-02,4.097029E-02
110.83090,-27.85352,1.777942E-02,6.123351E-02
110.83609,-36.08231,1.002838E-02,4.092097E-02
110.84249,-28.52801,1.550273E-02,5.404274E-02
110.84828,-18.41064,1.944244E-02,4.327058E-02
110.85448,-29.20250,1.327120E-02,5.242831E-02
110.86027,-19.48982,1.447190E-02,4.886515E-02
110.86689,-29.87699,1.128649E-02,5.112269E-02
110.87309,-20.56901,1.554100E-02,5.413174E-02
110.87981,-21.10860,1.452316E-02,5.144944E-02
110.88676,-21.64820,1.426664E-02,5.251350E-02
110.89392,-22.18779,1.486441E-02,5.017935E-02
110.89991,-38.64537,2.065258E-03,1.568147E-02
110.90308,-7.07919,1.313964E-01,2.396073E-01
110.90662,-7.88858,2.016413E-01,3.944596E-01
110.90956,-32.03536,1.259172E-02,5.092711E-02
110.91282,-23.53677,1.913453E-02,5.795553E-02
110.91677,-23.80657,2.122430E-02,6.089134E-02
110.92087,-45.39029,0.000000E+00,0.000000E+00
110.92485,-24.34616,3.038414E-02,9.433682E-02
110.92931,-39.72456,6.435926E-04,6.946966E-03
110.93317,-24.88575,3.287208E-02,9.827821E-02
110.93743,-25.15555,3.226444E-02,9.865297E-02
110.94174,-25.42535,3.243876E-02,9.704944E-02
110.94719,-14.09389,3.879955E-02,8.396988E-02
110.95189,-14.63349,3.067130E-02,6.529990E-02
110.95679,-15.17308,2.554494E-02,5.232835E-02
110.96194,-26.63943,3.151415E-02,9.859830E-02
110.96836,-41.07354,0.000000E+00,1.229289E-03
110.97374,-27.31392,2.440884E-02,8.249986E-02
110.97986,-17.46635,2.140300E-02,4.813334E-02
110.98595,-27.98841,1.783473E-02,6.065089E-02
110.99280,-35.67761,1.359014E-02,4.593095E-02
110.99859,-28.66290,1.567066E-02,5.390235E-02
111.00585,-42.28763,0.000000E+00,0.000000E+00
111.01189,-20.16432,1.647528E-02,6.088337E-02
111.01896,-20.70391,1.596021E-02,5.542906E-02
111.02626,-21.24350,1.567847E-02,5.224625E-02
111.03356,-30.41658,1.091929E-02,5.138116E-02
111.03728,-6.67449,1.117778E-01,2.139121E-01
111.04086,-7.48388,1.556413E-01,2.909275E-01
111.04416,-8.15837,2.530605E-01,5.229676E-01
111.04776,-8.83286,4.393131E-01,1.003472E+00
111.05163,-22.99718,1.747694E-02,5.598979E-02
111.05576,-23.26697,1.887889E-02,5.838760E-02
111.05964,-31.63067,1.232929E-02,5.083273E-02
111.06421,-23.80657,2.285105E-02,7.002006E-02
111.06869,-32.03536,1.295703E-02,5.182472E-02
111.07292,-24.34616,3.164869E-02,9.637012E-02
111.07793,-32.44006,1.539820E-02,5.489622E-02
111.08263,-13.68920,4.826073E-02,1.076196E-01
