STA,KAPPA,CNT
TOD,0.047793,1
TOM,-0.036952,8
TOMM,-0.036952,8
TOO,-0.020075,86
TOS,-0.001608,3
TOT,-0.002725,4
TPND,-0.003795,5
TPSO,0.016832,15
TRI,0.026334,1
TROP,-0.002706,7
TRPU,0.043501,1
TV1H,-0.048060,15
TV2S,-0.005731,4
TW1H,0.069965,17
TWINS,0.068535,2
TWOA,0.027514,28
TYR,0.013612,5
UTT,0.047376,15
WALLA,0.023226,4
WALR,-0.012003,14
WAM,-0.002371,13
WAMB,-0.002371,13
WARB,-0.052207,7
WATNG,-0.036505,33
WB0,0.004925,17
WBI21,-0.049415,3
WBI22,-0.076925,9
WBJ04,0.084935,3
WBJ05,0.047098,5
WBJ12,-0.009547,9
WBJ13,-0.043510,8
WBJ15,0.005198,4
WBJ22,-0.040372,9
WBJ23,-0.011152,9
WBK07,-0.034502,8
WBK08,-0.000312,6
WBK09,-0.033695,9
WBK10,0.018449,3
WBK11,-0.041750,9
WBK12,0.013337,5
WBK13,-0.002640,9
WBK14,-0.036763,9
WBK15,-0.074921,8
WBK17,-0.029776,8
WBK18,-0.012279,7
WBK19,-0.051546,7
WBK20,0.018181,9
WBK21,-0.012512,9
WBK22,0.010831,6
WBK23,-0.078891,9
WBK26,0.045193,9
WBL05,0.035713,2
WBL07,0.064830,9
WBL10,-0.035082,2
WBL11,0.025454,6
WBL12,-0.031255,3
WBL13,0.041837,5
WBL14,-0.009378,6
WBL15,-0.054514,10
WBL16,-0.046184,9
WBL18,-0.021728,8
WBL20,-0.046802,7
WBL21,-0.006815,9
WBL22,-0.016271,8
WBL23,-0.021199,4
WBL26,0.018452,9
WBM08,-0.022679,8
WBM09,-0.022283,3
WBM10,-0.031884,10
WBM11,0.018035,5
WBM12,0.020428,4
WBM13,0.018560,7
WBM14,-0.006902,6
WBM15,-0.011530,10
WBM17,-0.000606,8
WBM18,-0.041779,8
WBM19,-0.058788,5
WBM20,-0.041979,9
WBM21,-0.003169,9
WBM22,-0.011974,9
WBM23,-0.028557,9
WBM24,-0.092728,9
WBM25,-0.012693,8
WBM26,-0.005019,9
WBN07,0.061852,6
WBN09,0.014050,6
WBN11,-0.017050,6
WBN12,0.056833,5
WBN13,-0.028944,2
WBN14,-0.002242,6
WBN15,-0.005835,3
WBN16,-0.079201,7
WBN17,-0.039940,8
WBN18,0.031651,8
WBN20,-0.010641,9
WBN22,-0.028231,9
WBN23,0.002594,9
WBN25,-0.001108,8
WBO07,0.073064,6
WBO08,0.017075,2
WBO10,0.002557,6
WBO12,0.003058,6
WBO13,-0.024564,4
WBO14,-0.019771,7
WBO15,0.063220,4
WBO17,-0.001975,7
WBO18,-0.048570,7
WBO19,-0.032766,5
WBO21,-0.042663,9
WBO22,-0.078033,3
WBO23,-0.086773,2
WBO24,-0.088020,9
WBO25,-0.082506,9
WBP06,0.042823,2
WBP08,0.003967,4
WBP09,0.007356,12
WBP10,0.001090,7
WBP12,0.054698,5
WBP15,-0.014717,7
WBP16,0.028410,4
WBP17,0.004229,10
WBP18,0.012018,7
